"state_abbr","state_fips","place_fips","stpl_fips","city_name","metric_name","group_name","metric_number","group_number","num","denom","est","lci","uci","county_indicator","educ_indicator","multiplier_indicator","data_yr_type","geo_level","Date of export to MySQL database","version","NOTE - NCHS Disclaimer"
NY,36,601000,3601000,Albany,Absenteeism,total population,1,1,2274,7940,28.6,-999,-999,-999,-999,-999,2015-2016,city,2019-06-11,6,"The downloadable data tables shared on the City Health Dashboard website were not released as a micro-level downloadable datasets from NCHS/RDC, rather .csv aggregated data tables whose analyses were conducted per NCHS disclosure requirements in a secure environment and released as approved output. The findings and conclusions on this website are those of the author(s) and do not represent the views of the Research Data Center, the National Center for Health Statistics, or the Centers for Disease Control and Prevention. NCHS does not recommend further analysis of these tables because linking them to individually identifiable data from other NCHS or non-NCHS datasets could potentially cause disclosure. If you believe a disclosure has occurred please contact info@cityhealthdashboard.com and RDCA@cdc.gov."
NY,36,611000,3611000,Buffalo,Absenteeism,total population,1,1,7663,17692,43.3,-999,-999,-999,-999,-999,2015-2016,city,2019-06-11,6,
NY,36,649121,3649121,Mount Vernon,Absenteeism,total population,1,1,1881,5623,33.5,-999,-999,-999,-999,-999,2015-2016,city,2019-06-11,6,
NY,36,650617,3650617,New Rochelle,Absenteeism,total population,1,1,2330,10459,22.3,-999,-999,-999,-999,-999,2015-2016,city,2019-06-11,6,
NY,36,651000,3651000,New York,Absenteeism,total population,1,1,14924,79825,18.7,-999,-999,-999,-999,-999,2015-2016,city,2019-06-11,6,
NY,36,663000,3663000,Rochester,Absenteeism,total population,1,1,7181,17167,41.8,-999,-999,-999,-999,-999,2015-2016,city,2019-06-11,6,
NY,36,665508,3665508,Schenectady,Absenteeism,total population,1,1,4929,8169,60.3,-999,-999,-999,-999,-999,2015-2016,city,2019-06-11,6,
NY,36,673000,3673000,Syracuse,Absenteeism,total population,1,1,3026,10285,29.4,-999,-999,-999,-999,-999,2015-2016,city,2019-06-11,6,
NY,36,684000,3684000,Yonkers,Absenteeism,total population,1,1,1348,7528,17.9,-999,-999,-999,-999,-999,2015-2016,city,2019-06-11,6,
NY,36,601000,3601000,Albany,Absenteeism,female,1,2,1091,3513,31.1,-999,-999,-999,-999,-999,2015-2016,city,2019-06-11,6,
